inv,slug,wiki_article,wiki_store
axeshop,bobs_brilliant_axes,[[Bob's Brilliant Axes.]],
armourshop,horviks_armour_shop,[[Horvik's Armour Shop.]],
generalshop1,al_kharid_general_store,[[Al Kharid General Store]],
generalshop2,edgeville_general_store,[[Edgeville General Store]],
runeshop,auburys_rune_shop,[[Aubury's Rune Shop.]],
swordshop,varrock_sword_shop,[[Varrock Swordshop]],
archeryshop,lowes_archery_emporium,[[Lowe's Archery Emporium]],
clotheshop,thessalias_fine_clothes,[[Thessalia's Fine Clothes.]],
staffshop,zaffs_superior_spellcasting,[[Zaff's Superior Staffs!]],
helmetshop,peksas_helmet_shop,[[Helmet Shop.]],
scimitarshop,zekes_superior_scimitars,[[Zeke's Superior Scimitars.]],
legsshop,louies_armoured_legs_bazaar,[[Louie's Armoured Legs Bazaar.]],
generalshop3,varrock_general_store,[[Varrock General Store]],
miningstore,drogos_mining_emporium,[[Drogo's Mining Emporium.]],
shieldshop,cassies_shield_shop,[[Cassie's Shield Shop.]],
skirtshop,ranaels_super_skirt_store,[[Ranael's Super Skirt Store.]],
generalshop4,nardah_general_store,[[Nardah General Store.]],
championshop,valaines_shop_of_champions,[[Valaine's Shop of Champions.]],
maceshop,flynns_mace_market,[[Flynn's Mace Market.]],
battleaxeshop,brians_battleaxe_bazaar,[[Brian's Battleaxe Bazaar.]],
chainmailshop,waynes_chains_chainmail_specialist,[[Wayne's Chains! - Chainmail specialist.]],
generaldwarf,dwarven_shopping_store,[[Dwarven shopping store]],
generalshop5,lumbridge_general_store,[[Lumbridge General Store]],
magicshop,bettys_magic_emporium,[[Betty's Magic Emporium.]],
gemshop,gem_trader,[[Gem Trader.]],
craftingshop,rommiks_crafty_supplies,[[Rommik's Crafty Supplies.]],
goldshop,grums_gold_exchange,[[Grum's Gold Exchange.]],
boozeshop,karamja_wines_spirits_and_beers,"[[Karamja Wines, Spirits, and Beers.]]",
fishingshop,gerrants_fishy_business,[[Gerrant's Fishy Business.]],
generalshop6,rimmington_general_store,[[Rimmington General Store]],
craftingshop2,dommiks_crafting_store,[[Dommik's Crafting Store.]],
runiteshop,scavvos_rune_store,[[Scavvo's Rune Store.]],
generalshop7,falador_general_store,[[Falador General Store]],
runeplateshop,oziachs_armour,[[Oziach (shop)]],
dragonswordshop,jukats_dragon_sword_shop,[[Jukat (shop)]],
cheapringshop,irksols_ruby_rings,[[Irksol (shop)]],
generalshop8,zanaris_general_store,[[Zanaris General Store]],
2handedshop,gaiuss_two_handed_shop,[[Gaius' Two Handed Shop.]],
herbloreshop,jatixs_herblore_shop,[[Jatix's Herblore Shop.]],
taxfree,bandit_duty_free,[[Bandit Duty Free]],
pizzabaseshop,tonys_pizza_bases,[[Tony's Pizza Bases]],
fishingshop2,harrys_fishing_shop,[[Harry's Fishing Shop.]],
dragonaxeshop,happy_heroes_hemporium,[[Happy Heroes' H'emporium.]],
amuletshop,davons_amulet_store,[[Davon's Amulet Store.]],
arheinstore,arheins_store,[[Arhein's General Goods]],
candleshop,candle_shop,[[Candle Shop]],
archeryshop2,hicktons_archery_emporium,[[Hickton's Archery Emporium.]],
herbloreshop2,gruds_herblore_stall,[[Grud's Herblore Stall.]],
memberstaffshop,zaffs_superior_spellcasting_duplicate,,
gemshop2,herquins_gems,[[Herquin's Gems.]],
topshop,zeneshas_platebody_shop,[[Zenesha's Plate Mail Body Shop.]],
bakery,ardougne_bakers_stall_east,[[Ardougne Baker's Stall.]],east
adventurershop,aemads_adventuring_supplies,[[Aemad's Adventuring Supplies.]],
furshop,fremennik_fur_trader,[[Fremennik Fur Trader]],
fishingguild,fishing_guild_shop,[[Fishing Guild Shop.]],
fancyclothesstore,fancy_clothes_store,[[Fancy Clothes Store]],
magicguildshop,magic_guild_store_runes_and_staves,[[Magic Guild Store (Runes and Staves)]],
junglestore,jiminuas_jungle_store,[[Jiminua's Jungle Store.]],
lathastrainingstore,king_lathass_armoury,[[Armoury]],
cookeryshop,frenitas_cookery_shop,[[Frenita's Cookery Shop.]],
pickaxeshop,pickaxe_is_mine_iron,[[Yarsul's Prodigious Pickaxes]],
teashop,ye_olde_tea_shoppe,[[Ye olde Tea Shoppe.]],
generalshopogre,dals_general_ogre_supplies,[[Dal's General Ogre Supplies]],
herbloreshopogre,frincoss_fabulous_herb_store,[[Frincos' Fabulous Herb Store.]],
